"ssn";"job_title";"salary";"pay"
112135130;"Sales Intern";1;"74959"
130436667;"Sales Agent";1;"30610"
177542995;"Sales Intern";1;"90983"
188592559;"Assistant Property Manager";1;"90720"
210138373;"Sales Intern";1;"45221"
333748622;"Sales Agent";0;"46.57740385"
399909519;"Quality Support Specialist";1;"56959"
473748538;"Community Manager";0;"40.97307692"
529854685;"Custoemr Service Associate";1;"43932"
530994902;"Heavy Equipment Machanic";0;"44.26923077"
539801480;"Equipment Assocaite";1;"83108"
578267163;"Equipment Assocaite";1;"53992"
612105712;"Sales Intern";0;"40.66153846"
659582039;"Community Manager";1;"99413"
688613847;"Propery Manager";0;"19.04759615"
819781706;"Assistant Property Manager";1;"87148"
825207822;"Community Manager";1;"77640"
826328212;"Assistant Property Manager";1;"95383"
845973649;"Assistant Property Manager";0;"25.55913462"
940352830;"Equipment Assocaite";1;"33178"
