"ssn";"first_name";"last_name";"phone";"address"
100234142;"Amparo";"Haley";"(315)480-5601";5
100973241;"Weldon";"Wood";"(660)711-9938";4
108669276;"Selma";"Steele";"(621)640-8549";11
109261146;"Kerry";"Prince";"(749)652-9787";33
112135130;"Sal";"Bryant";"(514)104-7515";44
117395806;"Tim";"Alvarado";"(148)156-7626";19
124745659;"Leonardo";"Saunders";"(742)980-8909";15
126514405;"Tim";"Mckee";"(322)849-8182";6
127347642;"Lourdes";"Mcclain";"(507)809-1514";14
130436667;"Shannon";"Choi";"(731)731-9839";38
141923066;"Leonardo";"Gould";"(698)721-6890";10
156498168;"Denny";"Glass";"(364)102-2476";1
157542079;"Rosalyn";"Webster";"(161)827-5797";39
164563642;"Leonardo";"Benjamin";"(146)959-2445";5
166408082;"Nickolas";"Gamble";"(104)333-4582";5
167789099;"Rich";"Foley";"(843)483-5352";13
167883113;"Amparo";"Patrick";"(998)769-1246";35
169147166;"Woodrow";"Hogan";"(518)431-6643";44
176749747;"Lindsey";"Lara";"(201)542-4654";42
176966417;"Nora";"Summers";"(285)777-3165";37
177542995;"Misty";"Reynolds";"(941)370-1021";20
180287545;"Lourdes";"Summers";"(291)359-3673";18
184235278;"Darryl";"Barrera";"(681)204-9464";40
187619128;"Dorothy";"Webster";"(576)429-7281";47
188418723;"Troy";"Mathews";"(262)408-2485";2
188592559;"Kristin";"Merritt";"(175)186-6524";16
189342083;"May";"Quinn";"(363)939-7100";27
189386622;"Will";"Steele";"(557)697-3907";1
193384539;"Maynard";"Serrano";"(453)237-6411";19
200742794;"Reid";"Mcgee";"(683)562-3593";24
203571863;"Rafael";"Blackburn";"(729)833-2260";11
209704934;"Antonio";"Horton";"(199)927-7368";24
210138373;"Leroy";"Meadows";"(218)558-3298";32
210765194;"Eula";"Mack";"(221)903-8773";7
212598290;"Antonio";"Daniel";"(586)371-8290";28
215685754;"Rosalyn";"Pollard";"(940)179-5446";6
218354692;"Corine";"Fry";"(772)265-6199";41
223394351;"Shaun";"Bryant";"(524)501-4587";9
223749063;"Dorothy";"Bridges";"(842)987-9146";40
224146342;"Troy";"Mathews";"(590)962-3476";38
224954381;"Carl";"Bryant";"(636)746-3512";30
226956257;"Javier";"Bonilla";"(402)961-9253";5
236393469;"Darrell";"Potts";"(410)403-6137";26
236811273;"Tim";"Cross";"(465)761-3226";20
237886771;"Meredith";"Glover";"(731)907-7216";45
239586202;"Maricela";"Richardson";"(626)964-4288";9
242112543;"Darrell";"Pugh";"(141)813-6678";39
242701242;"Shaun";"Dudley";"(306)310-9457";43
244109358;"Tabitha";"Prince";"(703)603-5592";21
245582527;"Shaun";"Mckee";"(926)703-5868";37
255938281;"Harrison";"Garrett";"(929)895-7264";22
262841240;"Marcie";"Ellison";"(414)381-2701";43
264507337;"Major";"Mckinney";"(444)805-2715";35
272506031;"Denny";"Reynolds";"(712)356-2078";30
273856240;"Rusty";"Shepard";"(579)617-4262";33
273922832;"Branden";"Coffey";"(147)937-1813";48
274697312;"Major";"Serrano";"(323)709-9777";38
279249940;"Nora";"Richardson";"(948)841-1611";1
281228606;"Tim";"Fry";"(182)520-7063";41
281962594;"Ericka";"Prince";"(380)300-5216";41
284975464;"Misty";"Horton";"(823)332-2903";12
285845545;"Shaun";"Daniel";"(420)740-5010";8
286133351;"Tim";"Ryan";"(789)431-4288";8
288195544;"Gale";"Jimenez";"(318)955-6843";28
291954259;"Amparo";"Livingston";"(516)277-1153";42
300772161;"May";"Haley";"(404)527-7163";4
304176575;"Tyrone";"Serrano";"(366)368-7248";32
307796479;"Leroy";"Brandt";"(854)840-5252";9
310545810;"Leonardo";"Haley";"(727)427-2128";42
311694669;"Weldon";"Benjamin";"(955)464-5629";20
311925111;"Cameron";"Garrett";"(763)540-4137";46
314473523;"May";"Reynolds";"(707)883-3390";7
314508940;"Janie";"Porter";"(357)373-9624";20
317613656;"Tyrone";"Reynolds";"(156)911-6585";9
318457431;"Essie";"Mathews";"(803)867-1638";44
333725698;"Antonio";"Benjamin";"(417)956-9435";17
333748622;"Denny";"Bonilla";"(748)749-2643";19
335754584;"Nora";"Glover";"(589)131-5900";28
339663992;"Rafael";"Ponce";"(660)482-1393";36
343354451;"Araceli";"Meadows";"(461)746-5653";6
349535407;"Lindsey";"Dudley";"(167)214-3682";5
351565968;"Lupe";"Wood";"(306)823-9504";14
357549322;"Gale";"Richardson";"(443)301-2300";15
358867248;"Aurelio";"Richardson";"(275)465-6232";36
361135509;"May";"Serrano";"(627)182-3508";24
368624731;"Domingo";"Moon";"(960)656-5284";19
373365283;"Bradley";"Adams";"(213)915-6772";43
