"ssn";"renting";"emergency_contact"
156498168;44;749832818
167789099;40;124745659
169147166;39;349535407
184235278;41;400305079
187619128;20;494335957
188592559;22;628518254
200742794;38;803602629
223749063;42;494853894
224954381;34;311694669
237886771;21;646648331
242701242;41;787522732
255938281;42;616221742
281228606;21;226956257
304176575;20;244109358
307796479;31;848392131
311694669;45;569292230
311925111;18;209704934
333725698;14;177542995
343354451;4;351565968
349535407;39;816371567
358867248;5;167789099
361135509;23;829911556
403405928;31;157542079
417639938;27;849173043
422162251;4;572715624
429343655;24;745324591
456691985;46;264507337
485802567;38;368624731
514861891;27;272506031
530994902;28;390435774
536866121;5;816371567
570549344;12;375526852
580751244;34;333725698
624755144;31;896558315
650664895;43;494335957
697417987;25;242112543
716442188;38;212598290
719599835;19;940352830
726289600;39;432345906
732757431;46;759798943
736439584;5;262841240
749832818;22;872407270
759798943;30;193384539
803602629;2;749832818
816371567;25;288195544
819781706;35;803602629
825207822;17;721513167
829911556;8;958475650
831251495;42;514861891
851426814;28;535103735
872407270;47;425419683
874744404;42;610395755
895296058;12;333725698
896558315;1;456691985
913815937;10;515209266
964354966;11;849173043
966959763;8;448589947
992484079;39;734162397
996657556;6;311694669
